Dagaare,English
a,  and
a, in order to
a,but
a,they
a,the
a,to hate
aa,expression of surprise and regret
aa,expression of regret
aa,"expression expressing "" told you so"
aae,expression of pain
a-a, expression of disapproval
ãa,   yes  answer to a call 
ãaa,is that so?  expression of uncertain surprise 
âaa,answer in agreement
aa-ee,expression of lack of confidence in someone's ability to perform a task
aa-hii,expression of total despair
aane,infertile  woman  
aaŋ,well then
aba,  expression of despair over a repeated mishap
abaa,   exclamation of satisfaction or commendation
abɛ,   palm tree 
abɛ, palm fruit
abɛbiri,palm fruit
abɛdãã,palm wine
abɛkãã,palm oil
abɛsaare,palm-frond broom
abɛteɛ,palm tree
abuobo,which ones  nonhuman 
Afereka,Africa
Aferekaneɛ,African
afu,preface  of a book 
age,   to dance 
age,  to jump up and down
age,   to fly
age,  erect
agoo,to ask for permission to join someone  knock door 
agoo,a type of silky
agye,bad luck
ahâa,that’s right  expression of agreement 
ahaŋ,an expression that denotes “well?”
ai,no
aii,an expression of despair
akaase,expression of boastful challenge
akaasemanakei,expression of disappointment at failure
akaase akai,expression of disgust and disagreement
aku,expression of despair
akuroku,The thieves have robbed my friend again
akuroku,emphatic form of aku
akuu,expression indicating one’s inability to do a task
Ala,God
ala,I swear
alaakosebaroo,in the name of God
ale,to open  ring 
alee,expression ordering one to get out  away with you
aleɛma,metaphor  literature 
alɛ,expression of surprise mixed with fear
aloo,hello
aloopelee,aeroplane
aloopeleeduoraa,airport
ama,but
ama,these  3rd person plural demonstrative nonhuman 
ambaŋenaa,a type of small tree with large leaves and pink fruit
Ameleka,America
aminekaŋa,   perhaps
amma,much more than  exaggeration 
ammeseɛrɛ,thanks
ana,those  3rd person plural strong form nonhuman 
anaare,four
ananso,because
ananso,reason
anaŋ,those ones  3rd person plural demonstrative 
anaŋ,it  a problem
andonɛɛ,  world   
andonɛɛ,people of the world
ane,   and
ane, although
aneazaa,despite
aneɛ,effort
anesɛ,welcome  an expression of goodwill to a stranger who has just arrived 
angyoɔso,gratitude
anii,eight
anlee,   a traditional women’s dance 
anlee,music for such a dance
annoo,who  which person  interrogative pronoun 
ansaŋ,before
ansiŋinee,   a type of edible berry that turns violet when ripe
ansiŋinee,   the tree of this fruit
ansoɔnee,a woman who has recently given birth
antere,noon  used as a greeting
anuu,five
anwoŋ,one who is great or strong  physically or spiritually 
aŋ,to be alerted  used to caution or persuade
aŋ,who  interrogative pronoun 
aŋa,no one  retort  implies the matter is none of the asker’s business 
aŋa,like
aŋgaara,having the blades burnt away
aŋgeli,a type of long grass used to weave sleeping mats
aŋgoɔle,to adorn
Aŋkara,Accra
aŋko,river blindness
aŋkorɔ,barrel
ão,of course  expression of certainty 
apa,expression of unpleasant surprise
aparapa,emphatic expression of despair
ara,to gather up one’s courage
arambiri,kidney
are,to cut
are,to be related through the mother’s line
are,   to stand 
are, to wait   
N baŋ ka o na are la ka N gaa te pɔge o, I know s he will wait so that I go to meet him her.
are, to stop   
A wɔɔkye kyɛŋɛɛ la tasoga tasoga leɛ are, The watch worked for a while and then stopped.
are,to tear off from the main body  branch or limb of an animal 
areba,maternal uncle
arekpoŋ,eldest niece
arelee,nephew or niece
aremateke,arithmetic
arezie,   standing place
aroozie,   standing place  position 
ba,not  negative particle 
ba,   they
ba,to fix a pointed object firmly in the ground
ba,to gallop
ba,   father 
ba,  friend  between males 
ba,  Mister
baa,or  normally used in question tag 
baa,dog
baa,a small black ground antlike creature which burrows into the ground with the tip of its abdomen
baa,a type of children’s game
baa,body of water
baa,   to grow up
baabaa,father  familiar term of address used by toddlers 
Baabol,Bible
bãabõo,bustard
baaebaae,goodbye
baage,bag
baala,patient
baalaa,   slim
baale,to ache slightly  disconfort of the stomach    Ka maaŋ iri ba gaa bangyeraa n poɔ maŋ baala la. If I don’t go to the toilet for the day I normally have a slight stomachache. baalɛɛ
baale,to separate  grains from unwanted material    A pɔge baale iri la a seŋkãabie yi a pɛgere poɔ. The woman separated the groundnuts from the shells. baalɛɛ
baalebayiri,hospital
baalimbo,the act of supporting someone by holding them by the midsection   Ba kpɛ la a baala baalimbo gaa ne a asibiti. They supported the patient by the midsection and took him to the hospital.
baalombiri,germ
baalomboɔlaa,feast organised for a friend   Te daare gaa la baalomboɔlaa Loraa poɔ. We attended a friendship feast in Lawra.
baalonlɔnnaa,contagious disease
baalonnooraa,recurring illness
baaloŋ,friendship   Ba nyɔge la baaloŋ saŋa zaa. They have been friends for a long time.
baaloŋ,illness
baaloŋ,   calm   Zenɛ
baaluu,   gallon measure 
baaluu,  balloon
baa-ne-ŋmaaŋa,Ursa Major  constellation   also known as Big Dipper
baapɛmpɛle,lily pads  pl.  sg  baapɛmpɛloo pl  baapɛmpɛlɛ    baapɛmpɛɛ baapɛmpɛllɛɛ
baaraa,end
baare,   to finish
baasaabiri,   a seed from a type of tree 
baasaabiri,  a type of large bead made from this seed
Baasaale,Baasare  ethnic group 
baasakuuri,bicycle
baataŋaa,a type of tree that resembles the shea nut tree
babammo,ignorance
babaŋena,one who is innocent
babaŋyeli,innocence
babẽe,broth from dog meat
babeɛ,a friend that cannot be trusted
babeɛraa,bridge
babere,the breast of a dog
babini,dog faeces
babiŋ,a type of tree
babiri,bosom friend
babogi,the deepest part of a body of water
babullaa,spring
badaa,male dog
badaa-de-nyoɔre,the last day of a festival
badalane,uncastrated male dog
badalee,male puppy
badavaraa,castrated dog
badɛre,   spider 
badɛre, cunning person
badie,the deepest part of a body of water
badoge,a plant with a sweet smell
badɔgerɔ,female dog that has recently given birth
bafoɔlaa,   valley 
bafoɔlaa,  creek
baga,a triangular garment worn by men as underwear
baga,not caring
baganaa,dog leash
bagane,dog skin
bagao,mad dog
bageba,a type of sacred cult which initiates boys and girls into adulthood
bageboge,the act of divining
bageboge-dagoli,divining stick
bageboge-woɔ,divining bag
bagere,sacrifice for gods
bagukyɔfeɛle,very early morning  usually cold 
baguo,morning
bagupi,early morning
bagupipi,very early morning
bagbɛre,leg of a dog
bagbɛre,valley
bagboŋ,fool
bagbori,trough for a dog
bagyeɛnɛ,a type of children’s dance
bagyoɔ,   squirrel-like rodent  believed to be very sexually active
bagyoɔ,  sex maniac  male 
bagyɔroo,a thick
ba-irime,a type of wild mouse found along river valleys which has tender skin
bakana,broth from dog meat
bakore,trusted friend
bakɔ,a type of yam  early maturing 
bakpoŋ,   large stream
balaa,waistband  pair of shorts 
balambaaraa,peg used for tethering animals
balambiri,peg used for tethering animals
balantamm,large and heavy
balante,belt
bale,   to be tired
bale, to be fed up  3  to be weak  4  to be soft
bale,tribe
bale,   avoid
bale,of a kind
balee,brook
balee,puppy
balee,of a dubious and dangerous nature
baleŋkpɔgre,tick
balɔre,   ugly person or thing 
balɔre, one without strength
balɔrroŋ,   not being strong  
balɔrroŋ, act of being ugly
bam,a type of large yam
bama,these  3rd person plural demonstrative human 
bambaala,unassuming person  poor person
bambaalaa,small fish
bambaalaaraa,swallow  bird 
bambaŋ,hot
bambiŋi,an arrangement made in advance by two parties
bambugo,confused person  fool
bambuŋi,salp  fish of the class Thaliacea 
bambuŋi,locally made gunpowder
bamm,big and heavy
bammo,intelligence
bamoɔ,a type of tall
bandaa,lizard  male 
bandaakpogilo,the act of hitting the opponent’s armpits with one’s knees to weaken the opponent  a wrestling move 
bandakarekpele,Agama agama lizard  also known as red-headed rock agama
bandakarema,large male lizard
bandanyene,tooth of a lizard
bandapoleɛne,female lizard
bandazeɛraa,kite  small bird of prey
bandazoore,tail of a lizard
banfane,a bangle that is believed to have medicinal value and may be worn to cure a disease
bangye,bank
bangyeraa,latrine  washroom  feces
ba-nimie-anaare,a dog
bantakperee,a type of spotted lizard  believed to be poisonous 
bantoɔ,rectal bulb syringe
banweebaa,carnivorous bird  bigger than a kite but strong and fast 
banzeɛ,copper bangle
banzeɛraa,bird that eats lizards
banzɔlɔ,chain
banyaa,chest of a dog
banyagere,intestine of a dog
banyaŋaa,female dog
Banyene,homeland of the Banyenɛɛ clan
Banyenɛɛ,name of a clan
banyɛtɔgle,imitation
baŋa,bangle
baŋa,lizard
baŋe,to know  something or someone   to be aware of
baŋena,area between the shoulder and neck  trickster
baŋenaa,a type of tree that has medicinal properties
baŋene,cleverness
baŋgori,high-heeled shoes
baŋkaroŋ,a type of brown bird with long
baŋkoroŋ,foreknowledge
baŋŋmeɛle,twisted bangle
ba-ɔge,a dog’s nest
bapare,close friend
bapare,end of a valley
bapiiraa,a puppy earmarked for someone
bapimbaare,a small part of the stomach of a ruminant that has many compartments
bara,boastful threat
baraa,not making any effort  helpless
bare,to leave
bare,to cultivate seeds  to offer firstfruits to the gods
barekanneɛbaa,local spirits  alcohol 
barre,to haggle
ba-sakɔre,lazy and useless dog
basasale,slippery waterway
ba-soɔmee,weak and sickly dog
bataabo,the state of not having anything
batara,poor or needy person
batuo,bosom friend
bavilime,lake
bawaa,a type of dance
Bayaayiree,people of Bayaayiri
Bayaayiri,a settlement in the Upper West Region  ancestors’ dwelling  next world
Bayuo,name traditionally given to a male child born on a funeral day
bazẽe,blood of a dog
bazele,tongue of a dog
bazoɔ,a type of wild fox
bazoraa,fast dog
bazugiri,a type of wild mouse that has thick fur
be,to exist
be,there  place 
be,to become boiled or cooked  to be smooth  flour   to mature
be,or
bebe,present
bebelaa,termite hill
bebelebiri,white ant
beberaa,a pessimist
beberee,one who is malicious
beberiyɛlɛ,malicious talk
beberuŋ,the act of causing trouble
bebibaaraa,last day
bebibalaa,particular day
bebidɛŋe,first day
bebifaa,sabbath  sacred day
bebigbuli,whole day
bebikore,a former day
bebipaalaa,new day  different day
bebiri,date
bebisaana,strange day
bebisoŋ,good day
bebitɔɔre,distant date
bebivuo,free day
bebiyeni,one day
bee,to exist  to be present
bee,or
bẽe,concentrated extraction from something  tasty
beele,to envy  with evil intent 
beele,to move slightly away from a spot
beene,strong person  one with supernatural power
beene,well-cooked
beene,to move majestically  to roam round leisurely
beere,to kill
beɛ,to move out of the way  allowing another to pass   to divert  to pass someone by
beɛ,to slice  meat 
beɛ,funny  strange
bẽɛ,beer
beɛbeɛ,strange
beɛlaa,small
beɛle,to accompany
beɛle,to cut in strips  meat
beɛlɛbeɛlɛ,slowly  bit by bit
bẽɛo,multitude
beɛre,older brother
beɛre,to follow up
beɛre,to cut into strips
bege,to stop up
bege,law
begebinne,lawmaker  member of parliament
begebiŋi-duoraa,parliament house
begere,wing
belaa,anthill
belaa,what  interrogative pronoun 
belaa,small  quantity 
bele,to do extraneous work
bele,yeast
belefele,big and fat  person 
benee,that place
benne,to intrude
bennɛ,intruder  especially to meals 
bazugiri,a type of wild mouse that has thick fur
be,to exist
be,there  place 
be,to become boiled or cooked
be,or
bebe,present
bebelaa,termite hill
bebelebiri,white ant
beberaa,a pessimist
beberee,one who is malicious
beberiyɛlɛ,malicious talk
beberuŋ,the act of causing trouble
bebibaaraa,last day
bebibalaa,particular day
bebidɛŋe,first day
bebifaa,sabbath  sacred day
bebigbuli,whole day
bebikore,a former day
bebipaalaa,new day  different day
bebiyeni,one day
bee,to exist  to be present
bee,or
bẽe,concentrated extraction from something  tasty
beele,to envy  with evil intent 
beene,strong person  one with supernatural power
beene,well-cooked
beene,to move majestically  to roam round leisurely
beere,to kill
beɛ,to move out of the way  allowing another to pass   to divert  to pass someone by
beɛ,to slice  meat 
beɛ,funny  strange
bẽɛ,beer
beɛbeɛ,strange
beɛlaa,small
beele,to accompany
beele,to cut in strips  meat 
beele,to move slightly away from a spot
beene,to intrude
berroŋ,the state of being supernaturally powerful
bɛ,to be sick
bɛ,to seal
bɛ,where  interrogative pronoun 
bɛbɛgere,mud
bɛɛ,where  interrogative pronoun 
bɛɛ,sheep
bɛɛne,hemp seeds
bɛge,to embank  to block with a dam
bɛgelaa,a shell of a particular type of seed
bɛlɛmbɛgere,nightengale
bɛlɛnte,belt
bɛlle,to deceive
bɛlle,to coax  a baby 
bɛlle,to look at closely
bɛllebɛllɛ,bean flour shaped into slabs and steamed
bɛmbɛŋ,extremely black
bɛmbɛŋ,to move in a shaky manner
bɛmbiri,bean seed
bɛmbugo,barn for storing beans
bɛmbuli,bean sprout
bɛmpaala,new
bɛmpelaa,white beans
bɛmpɛɛre,unripened bean seed
bɛmpɛge,bean husk
bɛndaa,bean stalk
bɛndaa,a cooked bean dish  usually not seasoned 
bɛnwɔne,the fruit of a bean plant
bɛnzɔŋe,bean flour
bɛnzɔɔre,tender  seedless  fruit of a bean plant
bɛŋe,to sift
bɛŋe,to pretend to invite someone to share something  but not whole-heartedly 
bɛŋɛ,beans
bɛŋgbɛre,a variety of beans
bɛŋkorɔ,old beans
